galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
2000104000000,2000104000176,-1,2000104000000,63000200000706,63000200000706,2000104000000,2000104000001,-1,0,63,0.0,144.07393,10407,54.041252,35.209084,16.53426,118985,6,3,1,33.082485,198.60518,-77.440575,2066,144.07393,0.18367141,183.67154,199.39178,0.50592816,4.513069,0.9800239,17.344645,0.55775434,0.0033953802,0.01129463,0.062876396,0.009320261,0.19231664,0.0061821365,0.66232985,0.0,0.0,0.01139168,0.105064176,-20.798174,-21.480816,-22.104172,-22.664492,-24.166012,-18.386036,-19.249826,-19.966015,-20.571249,-22.06257,-20.623346,-21.342278,-21.993713,-22.5843,-24.142176,8.234328,972
2000104000001,2000104000176,2000104000000,2000104000001,62000200000682,62000200000682,2000104000000,2000104000002,-1,0,62,0.019932542,146.6559,10407,54.03935,35.16262,16.55835,118985,6,3,1,31.045042,196.36176,-84.78489,2014,146.6559,0.1838324,185.22888,194.0239,0.5577675,4.50581,0.9800239,17.58834,0.5800061,0.003391691,0.012051582,0.062717125,0.009320261,0.19006282,0.006433991,7.071853,2.3944914E-8,0.0,0.012008809,0.10349133,-21.047943,-21.637306,-22.217955,-22.753525,-24.22628,-18.412155,-19.27381,-19.98848,-20.592087,-22.080938,-20.88438,-21.510876,-22.11825,-22.681437,-24.204699,7.9839272,354
2000104000002,2000104000123,2000104000001,2000104000002,61000200000671,61000200000671,2000104000000,2000104000003,2000104000124,0,61,0.041403063,151.56165,10408,54.031284,35.12134,16.579449,118875,6,3,1,27.432556,191.4481,-89.320305,1952,151.56165,0.18482743,187.79387,194.20053,1.0873828,3.9535196,0.508907,18.42901,0.53381956,0.002347192,0.01855646,0.05607913,0.004122136,0.17942618,0.006028797,3.391398,0.0,43.904533,0.011542919,0.099735714,-21.07201,-21.602457,-22.164917,-22.689714,-24.147165,-17.733873,-18.580006,-19.287048,-19.878365,-21.329689,-20.70678,-21.337532,-21.959938,-22.54072,-24.098978,7.641678,185
2000104000003,2000104000123,2000104000002,2000104000003,60000200000683,60000200000683,2000104000000,2000104000004,-1,0,60,0.064493395,156.29526,10408,54.024883,35.083996,16.601776,118879,6,3,1,24.025822,189.14616,-95.73664,1946,156.29526,0.1855884,190.31256,202.18521,1.061104,3.912898,0.508907,19.009523,0.55841684,0.0023434788,0.018369338,0.055386398,0.004122136,0.17782584,0.006371064,3.7403455,0.0,43.936543,0.0107279215,0.09786304,-21.104914,-21.626701,-22.18628,-22.709305,-24.163422,-17.761583,-18.605478,-19.310877,-19.90035,-21.348934,-20.763285,-21.368465,-21.983173,-22.561296,-24.117405,7.431674,25
2000104000004,2000104000123,2000104000003,2000104000004,59000200000709,59000200000709,2000104000000,2000104000005,-1,0,59,0.08928783,154.05756,10408,54.013947,35.0423,16.625437,118879,6,3,1,21.47651,187.3864,-104.45409,1905,154.05756,0.18345277,190.04189,212.6448,1.0552944,3.8663135,0.508907,18.920622,0.590242,0.0023394944,0.018597387,0.05457925,0.004122136,0.17513804,0.006813454,3.8781714,0.0,43.953888,0.010460221,0.0974093,-21.106949,-21.631626,-22.194132,-22.718636,-24.173662,-17.791147,-18.632519,-19.3361,-19.92371,-21.369959,-20.798042,-21.38826,-21.999645,-22.576424,-24.130327,7.2200956,11
2000104000005,2000104000123,2000104000004,2000104000005,58000200000722,58000200000722,2000104000000,2000104000006,-1,0,58,0.11588337,151.81984,10408,54.00711,34.9901,16.64554,118879,6,3,1,18.975994,179.89658,-110.12155,1843,151.81984,0.1812054,189.82292,223.95055,1.0623791,3.8162472,0.508907,18.283873,0.6284579,0.0023354585,0.019045668,0.053694874,0.004122136,0.17241575,0.0073367893,3.5073235,0.0,43.953175,0.011038584,0.09660551,-21.069866,-21.613821,-22.185776,-22.715214,-24.17655,-17.822706,-18.661263,-19.36284,-19.948532,-21.392668,-20.698074,-21.33929,-21.967232,-22.550888,-24.117155,7.0025277,228
2000104000006,2000104000123,2000104000005,2000104000006,57000200000731,57000200000731,2000104000000,2000104000007,-1,0,57,0.14438343,149.32394,10408,54.008442,34.93993,16.646727,118879,6,3,1,19.58403,175.22133,-117.6288,1861,149.32394,0.17873678,189.55173,218.09444,1.029896,3.7694604,0.508907,17.886793,0.67577296,0.0023313647,0.019210342,0.052846216,0.004122136,0.16990797,0.00797075,3.4241257,0.0,43.965927,0.010763826,0.0960111,-21.069729,-21.621466,-22.197214,-22.728054,-24.190617,-17.856106,-18.691622,-19.391048,-19.97471,-21.4167,-20.72002,-21.350344,-21.979557,-22.566805,-24.138695,6.766881,122
2000104000007,2000104000123,2000104000006,2000104000007,56000200000745,56000200000745,2000104000000,2000104000008,-1,0,56,0.17489761,141.92229,10408,53.993534,34.893417,16.67592,118879,6,3,1,22.737526,170.12437,-124.093475,1741,141.92229,0.174159,187.20709,205.40038,0.9766915,3.72241,0.508907,16.951477,0.73310435,0.0023272005,0.019475497,0.05194785,0.004122136,0.1672792,0.008731363,3.5288465,0.0,43.962505,0.010173876,0.096420325,-21.090456,-21.642902,-22.218431,-22.748703,-24.210344,-17.891277,-18.723488,-19.420574,-20.002085,-21.44174,-20.681145,-21.329306,-21.96214,-22.552008,-24.135824,6.520134,672
2000104000008,2000104000123,2000104000007,2000104000008,55000200000722,55000200000722,2000104000000,2000104000009,-1,0,55,0.20754863,122.21326,10408,53.979103,34.845352,16.710522,118879,6,3,1,22.000597,165.30179,-134.50693,1730,122.21326,0.16406354,178.98766,201.8772,0.99087363,3.6726096,0.508907,13.317384,0.78728557,0.0023235106,0.020430773,0.050936297,0.004122136,0.16312198,0.009429623,4.6129127,0.0,43.867607,0.0090427585,0.099288225,-21.175064,-21.702835,-22.268406,-22.793545,-24.247242,-17.9285,-18.757084,-19.451607,-20.030834,-21.468096,-20.644272,-21.283993,-21.925127,-22.532488,-24.155582,6.2670827,277
2000104000009,2000104000123,2000104000008,2000104000009,54000200000720,54000200000720,2000104000000,2000104000010,-1,0,54,0.24246909,113.34849,10408,53.967976,34.785152,16.75128,118879,6,3,1,19.989466,166.27731,-141.71216,1665,113.34849,0.15827335,175.49872,200.55632,1.1340579,3.605949,0.508907,11.70938,0.7863243,0.0023203355,0.022326957,0.04959303,0.004122136,0.15837255,0.009313982,4.2934566,0.0,43.825264,0.010617091,0.09971294,-21.159332,-21.69409,-22.260534,-22.78429,-24.234772,-17.968443,-18.793186,-19.485023,-20.061895,-21.496843,-20.778143,-21.394085,-22.016823,-22.601643,-24.174015,6.0323396,509
