galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
157000000,157000131,-1,157000000,63000000000651,63000000000651,157000000,157000001,-1,0,63,0.0,60.504166,2698,31.138018,21.215532,30.562891,31727,3,2,3,-32.80747,80.99707,-367.5698,787,60.504166,0.13754396,137.54405,146.57957,1.1943613,1.5759463,0.31078002,4.8951364,1.7891967,0.0014441248,0.017350158,0.01722762,0.0021656242,0.03788481,0.018234758,1.5885936,0.0,43.39739,0.01849434,0.096412934,-20.35382,-20.84368,-21.36987,-21.857048,-23.244038,-17.29307,-18.118261,-18.812012,-19.386574,-20.796888,-20.207638,-20.74395,-21.296371,-21.805536,-23.228628,7.110148,4
157000001,157000131,157000000,157000001,62000000000658,62000000000658,157000000,157000002,-1,0,62,0.019932542,62.655807,2698,31.143545,21.199013,30.640371,31727,3,2,3,-33.950756,81.560776,-369.70886,801,62.655807,0.13845521,139.50699,152.2706,1.1457967,1.5585332,0.31078002,5.2713547,1.8475964,0.0014435651,0.016983086,0.016973414,0.0021656242,0.036636315,0.019188065,1.5444244,0.0,43.37899,0.018200133,0.09174883,-20.41751,-20.883482,-21.395426,-21.876003,-23.254444,-17.31956,-18.142654,-18.834871,-19.407967,-20.816416,-20.31225,-20.807632,-21.337845,-21.835072,-23.24215,6.924699,690
157000002,157000131,157000001,157000002,61000000000668,61000000000668,157000000,157000003,-1,0,61,0.041403063,61.79515,2698,31.156067,21.175154,30.717255,31727,3,2,3,-35.616165,85.61671,-375.60956,741,61.79515,0.13705286,139.25253,158.53014,1.1215546,1.5408057,0.31078002,5.090861,1.9273793,0.0014429648,0.016901791,0.016709214,0.0021656242,0.03479233,0.020444533,5.070766,2.782314E-7,43.35052,0.018582892,0.0903499,-20.666088,-21.048435,-21.519077,-21.977922,-23.322372,-17.34789,-18.168667,-18.859161,-19.43062,-20.836876,-20.561,-20.971172,-21.459702,-21.935076,-23.308704,6.7269373,304
157000003,157000093,157000002,157000003,60000000000663,60000000000663,157000000,157000004,157000094,0,60,0.064493395,61.02056,2698,31.171057,21.155933,30.804964,31727,3,2,3,-32.18887,82.69477,-371.67004,787,61.02056,0.13564204,139.0948,174.92188,1.2792866,1.4287176,0.25942713,5.0315833,1.7241118,0.001038889,0.018071955,0.015668148,0.0019658017,0.031245202,0.019967908,2.0848312,0.0,43.634026,0.01639116,0.08781265,-20.304453,-20.766464,-21.292372,-21.78488,-23.173813,-17.11538,-17.946814,-18.643677,-19.223719,-20.652662,-20.172474,-20.66917,-21.217382,-21.730911,-23.157228,6.6506596,530
157000004,157000093,157000003,157000004,59000000000683,59000000000683,157000000,157000005,-1,0,59,0.08928783,58.782852,2698,31.18677,21.132774,30.898441,31727,3,2,3,-34.187862,85.44367,-373.78543,783,58.782852,0.13305978,137.83893,169.64618,1.1663798,1.4027522,0.25942713,4.7675776,1.7509369,0.0010384378,0.017553529,0.015292173,0.0019658017,0.029477062,0.021263842,1.4610791,0.0,43.623608,0.017970873,0.08844842,-20.121527,-20.6453,-21.204922,-21.717579,-23.131792,-17.14651,-17.975096,-18.669897,-19.247972,-20.674393,-20.035126,-20.580244,-21.15408,-21.68082,-23.120596,6.471741,686
157000005,157000093,157000004,157000005,58000000000653,58000000000653,157000000,157000006,-1,0,58,0.11588337,56.45908,2698,31.20376,21.1018,31.017536,31727,3,2,3,-46.97697,92.71329,-392.1832,662,56.45908,0.13030855,136.50558,147.0056,0.9956351,1.3838902,0.25942713,4.4812093,1.8365151,0.0010379921,0.016806876,0.0149946315,0.0019658017,0.02766456,0.0231278,1.123162,0.0,43.599125,0.017589713,0.088676825,-20.007801,-20.582415,-21.166441,-21.691422,-23.12069,-17.180122,-18.005686,-18.698318,-19.274395,-20.698456,-19.911037,-20.508638,-21.10819,-21.649042,-23.107672,6.2476788,386
157000006,157000093,157000005,157000006,57000000000679,57000000000679,157000000,157000007,-1,0,57,0.14438343,46.217266,2698,31.21515,21.072266,31.12762,31727,3,2,3,-47.556625,93.58417,-395.09448,622,46.217266,0.1209035,128.21909,143.01366,0.8693544,1.3689075,0.25942713,2.7564688,1.9682969,0.0010376303,0.016259722,0.014727722,0.0019658017,0.025421167,0.025396701,0.7236695,0.0,43.41236,0.018944982,0.09491426,-19.913357,-20.542795,-21.146517,-21.679312,-23.121424,-17.217527,-18.040028,-18.730545,-19.304525,-20.726395,-19.824907,-20.476562,-21.09407,-21.64079,-23.10911,5.9937983,95
157000007,157000093,157000006,157000007,56000000000676,56000000000676,157000000,157000008,-1,0,56,0.17489761,41.053326,2698,31.229809,21.045008,31.245968,31727,3,2,3,-49.140438,94.84701,-399.1981,579,41.053326,0.11518039,123.80976,145.22021,0.75507706,1.3589638,0.25942713,1.8283645,2.1490452,0.0010373907,0.015174822,0.014534708,0.0019658017,0.023620447,0.027951976,0.7310629,0.0,43.188683,0.016881468,0.09173101,-19.983137,-20.612022,-21.210352,-21.736118,-23.170841,-17.256042,-18.07496,-18.763012,-19.334608,-20.754198,-19.87864,-20.531622,-21.14602,-21.688686,-23.155666,5.706286,961
157000008,157000093,157000007,157000008,55000000000681,55000000000681,157000000,157000009,-1,0,55,0.20754863,40.881195,17982,31.253304,21.020054,31.363508,172162,3,2,3,-50.45614,94.653076,-396.9315,552,40.881195,0.11388867,124.2486,141.4343,0.67976964,1.3486468,0.25942713,1.6862129,2.3525047,0.0010371984,0.014224522,0.014324001,0.0019658017,0.021576371,0.030614063,0.7202581,0.0,43.120525,0.015581853,0.0871475,-20.0906,-20.695667,-21.276396,-21.790497,-23.213984,-17.296804,-18.111834,-18.797209,-19.366402,-20.784155,-19.987883,-20.61451,-21.21123,-21.74265,-23.19908,5.409539,722
157000009,157000093,157000008,157000009,54000000000643,54000000000643,157000000,157000010,-1,0,54,0.24246909,39.418076,17982,31.26376,20.989544,31.48785,172162,3,2,3,-50.97173,94.07519,-397.89337,558,39.418076,0.111301504,123.41478,142.29364,0.6453277,1.3382384,0.25942713,1.2408878,2.5985818,0.0010370326,0.013777448,0.014103806,0.0019658017,0.01853981,0.03374643,0.906075,0.0,42.873226,0.014037791,0.07837934,-20.33695,-20.865875,-21.404287,-21.894117,-23.290028,-17.340918,-18.152006,-18.834667,-19.40157,-20.818062,-20.206882,-20.764608,-21.322657,-21.833105,-23.269476,5.102998,711
