haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
90000000,63000000000522,90000186,90000000,63,0.0,90000001,-1,-1,90000000,-1,1478,135.55344,103.19274,125.22555,3913,15.521942,17.208998,1.175399,8783,1,1,0,3.985104,-28.129208,44.049652,105.175896,184.09045,-0.14360179,0.8020302,0.15420796,1338655,0,522,0.08752856,966
90000001,62000000000524,90000186,90000000,62,0.019932542,90000002,-1,90000000,90000001,-1,1470,134.95097,106.29111,125.39768,3913,15.512576,17.21703,1.170561,8783,1,1,0,4.537655,-27.431793,44.175728,105.82826,184.1327,-0.3235334,0.81732184,0.06351869,2350988,0,524,0.08682033,994
90000002,61000000000537,90000186,90000000,61,0.041403063,90000003,-1,90000001,90000002,-1,1462,133.83212,108.70094,124.537025,3913,15.505558,17.215984,1.160421,8783,1,1,0,5.1198244,-28.437931,43.379955,104.5929,179.5269,-0.25596547,0.81343204,0.12196751,1338655,0,537,0.08647755,909
90000003,60000000000518,90000186,90000000,60,0.064493395,90000004,-1,90000002,90000003,-1,1437,131.68048,109.81979,124.192764,3913,15.503149,17.217884,1.1459713,8783,1,1,0,5.8331075,-27.957964,43.909542,102.55254,176.85385,-0.17830645,0.784587,0.18686812,1338655,0,518,0.08647005,939
90000004,59000000000541,90000118,90000000,59,0.08928783,90000005,90000119,90000003,90000004,90000158,1324,129.6149,108.87308,121.86899,3913,15.494132,17.220581,1.1399505,8783,1,1,0,1.6634616,-24.487282,47.22593,102.711845,172.2031,-0.059707195,0.94254017,0.39811808,1338655,0,541,0.08499391,896
90000005,58000000000521,90000118,90000000,58,0.11588337,90000006,-1,90000004,90000005,90000159,1259,126.17227,108.18455,118.77063,3913,15.492214,17.226183,1.1333201,8783,1,1,0,1.3081672,-26.638405,45.932915,107.16687,175.80779,0.12283593,0.82374966,0.44255036,1338661,0,521,0.076433785,891
90000006,57000000000544,90000118,90000000,57,0.14438343,90000007,-1,90000005,90000006,90000160,1212,123.418175,101.0411,115.50013,3913,15.495556,17.227291,1.121191,8783,1,1,0,-1.3800945,-27.520245,47.190502,116.267746,186.20886,0.13805686,0.844303,0.4254028,1338661,0,544,0.06900153,365
90000007,56000000000518,90000118,90000000,56,0.17489761,90000008,-1,90000006,90000007,90000161,1251,119.28702,97.42634,108.95914,3913,15.527672,17.24611,1.0973116,8783,1,1,0,3.126494,-28.079542,44.654694,121.696175,209.49287,0.12138285,0.85411996,0.40146607,2350947,0,518,0.059053246,971
90000008,55000000000516,90000118,90000000,55,0.20754863,90000009,-1,90000007,90000008,90000122,1161,111.971436,92.17633,105.34438,3913,15.539315,17.26233,1.074615,8783,1,1,0,-10.1313305,-32.591114,41.602898,102.73856,170.21051,0.22956786,0.8302815,0.44470596,1338718,0,516,0.07612068,99
90000009,54000000000496,90000118,90000000,54,0.24246909,90000010,-1,90000008,90000009,90000123,1013,107.84029,81.93452,99.14765,3913,15.564339,17.274935,1.0551686,8783,1,1,0,-22.102734,-37.73253,38.152775,93.427704,170.2273,0.58079714,0.15849581,0.6315704,2350555,0,496,0.077743314,479
90000010,53000000000532,90000118,90000000,53,0.2798018,90000011,-1,90000009,90000010,90000124,961,101.29929,65.49598,89.42223,3913,15.571596,17.2904,1.0506451,8783,1,1,0,-17.117132,-38.65154,34.799603,91.40656,173.0305,0.55775845,0.19938515,0.81216675,1338655,0,532,0.07482783,232
90000011,52000000000476,90000118,90000000,52,0.31970343,90000012,-1,90000010,90000011,90000125,942,83.053375,62.397614,73.41402,3913,15.57681,17.312029,1.0411519,8783,1,1,0,-13.53755,-39.183575,33.138546,87.73403,167.17288,0.64043885,0.15287988,0.710783,1338655,0,476,0.07315492,684
90000012,51000000000601,90000118,90000000,51,0.36234027,90000013,-1,90000011,90000012,-1,836,75.99599,61.45089,71.00418,3913,15.582775,17.323809,1.0285202,8783,1,1,0,-15.710014,-38.663174,28.914192,90.76642,170.51414,0.73234004,-0.011884098,0.5449152,1338655,0,601,0.060393862,506
90000013,50000000000630,90000118,90000000,50,0.40789944,90000014,-1,90000012,90000013,-1,809,73.67222,60.073837,68.07795,3913,15.587963,17.329323,1.0187085,8783,1,1,0,-11.716676,-37.960636,30.075802,97.0391,178.36432,0.5107152,-0.18084845,0.4296626,1338655,0,630,0.051519815,586
90000014,49000000000585,90000118,90000000,49,0.45657724,90000015,-1,90000013,90000014,-1,776,72.2091,58.69679,67.131226,3913,15.596596,17.339409,0.9916224,8783,1,1,0,-8.066223,-35.85945,27.034494,94.073715,169.03773,0.44770843,-0.07636072,0.25783405,2350919,0,585,0.0517634,746
90000015,48000000000563,90000090,90000000,48,0.5085914,90000016,90000091,90000014,90000015,90000091,760,69.54106,59.901707,66.1845,3913,15.602599,17.342236,0.9839581,8783,1,1,0,-8.023624,-32.961567,27.379133,90.17264,161.39403,0.556711,-0.26670548,0.22633468,2350919,0,563,0.05858668,732
90000016,47000000000572,90000090,90000000,47,0.5641766,90000017,-1,90000015,90000016,90000092,735,67.905815,59.987774,65.323845,3913,15.612504,17.355005,0.96468765,8779,1,1,0,-8.321963,-33.56451,23.87132,90.33488,156.33572,0.61590993,-0.40118936,0.26130676,1338615,0,572,0.05670293,403
90000017,46000000000582,90000090,90000000,46,0.6235901,90000018,-1,90000016,90000017,90000093,740,68.85254,60.590233,66.786964,3913,15.61286,17.381893,0.955794,8779,1,1,0,-3.7757354,-33.20518,24.003868,95.54756,165.82602,0.6589758,-0.37235263,0.30654258,1338704,0,582,0.052315038,576
90000018,45000000000597,90000090,90000000,45,0.6871088,90000019,-1,90000017,90000018,90000094,650,67.47549,60.762363,64.46319,3913,15.605899,17.398142,0.96077263,8779,1,1,0,10.829126,-42.510254,13.134882,101.570755,174.37793,0.38070306,-0.38717186,0.44065607,1338717,0,597,0.042960137,668
90000019,44000000000591,90000090,90000000,44,0.75503564,90000020,-1,90000018,90000019,-1,684,64.37712,57.922195,62.22548,3913,15.587738,17.433973,0.96421653,8779,1,1,0,-1.7978356,-29.672478,25.72174,105.03803,180.42358,0.36996928,-0.14301765,-0.004847398,17332279,0,591,0.04040023,975
90000020,43000000000579,90000090,90000000,43,0.8276991,90000021,-1,90000019,90000020,90000095,574,59.21318,53.016453,57.922195,3913,15.567436,17.448895,0.9554107,8779,1,1,0,17.681087,-35.555588,27.946611,95.07438,167.00557,0.39912847,-0.46581662,0.6294187,2351119,0,579,0.039808236,12
90000021,42000000000556,90000090,90000000,42,0.9054624,90000022,-1,90000020,90000021,90000096,553,50.606613,42.688572,48.627106,3913,15.559634,17.473722,0.92788553,8779,1,1,0,17.883419,-32.00885,31.213747,90.89884,164.37834,0.5454419,-0.37506774,0.604311,2350947,0,556,0.039409697,375
90000022,41000000000552,90000090,90000000,41,0.98870814,90000023,-1,90000021,90000022,90000097,568,46.045135,41.225456,44.92628,3913,15.55395,17.491707,0.90947056,8779,1,1,0,19.65228,-32.150047,31.903778,85.827576,155.98438,0.6501331,-0.46124268,0.62949914,1338704,0,552,0.04557274,938
90000023,40000000000528,90000090,90000000,40,1.0778745,90000024,-1,90000022,90000023,90000098,556,48.28284,42.77464,46.991856,3913,15.536079,17.498074,0.89320225,8779,1,1,0,15.669785,-28.378288,29.18623,83.52905,149.40897,0.53948087,-0.3348834,0.5474766,2351119,0,528,0.047552984,345
90000024,39000000000536,90000090,90000000,39,1.173417,90000025,-1,90000023,90000024,-1,594,49.573826,46.819725,49.573826,3913,15.532626,17.516798,0.8947551,8779,1,1,0,16.94474,-20.700823,30.129536,92.58177,158.20639,0.6504876,-0.44887426,0.75486964,1338713,0,536,0.046602663,670
90000025,38000000000545,90000090,90000000,38,1.2758462,90000026,-1,90000024,90000025,-1,520,48.368908,46.475464,48.368908,3913,15.514692,17.535847,0.8608814,8779,1,1,0,13.001511,-22.719345,29.9505,104.79619,176.56897,0.8055756,-0.15675373,0.5471567,1338713,0,545,0.034325078,443
